	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142
away_x	57.6174	65.9536	40.5702	46.5928	33.0241	63.5150	36.4490	39.9630	39.0440	39.5058	39.0521	32.5790	67.9805	70.0689	46.8449	28.2368	45.3780	39.7775	39.3238	45.5965	31.0053	38.6645	71.9651	52.4944	31.8385	71.7683	28.0033	36.3557	58.9125	74.1383	63.9202	46.0823	65.2199	15.5607	77.3178	72.1399	68.2308	37.4884	40.6350	34.3984	81.7246	37.0004	44.5902	78.0794	74.0217	64.4051	38.3020	27.9226	65.4760	71.6979	74.3001	48.8232	79.4284	48.9070	62.8333	64.9374	32.1465	39.8112	59.8322	69.3596	33.3394	67.2694	72.5093	68.5077	43.9499	70.2895	82.1106	53.2591	61.8565	70.2425	35.6206	30.3918	39.0896	76.0882	71.7908	43.5428	62.5169	74.8850	48.9605	53.4215	50.5840	34.1731	66.4549	34.1188	30.8469	74.7412	67.7598	67.6707	30.9962	52.0335	42.2294	32.3311	75.7719	74.2477	72.0464	38.9800	75.8552	39.7063	75.4012	62.3912	42.0633	49.2572	78.7742	71.9642	74.1890	63.2502	62.2135	40.4676	76.1669	64.5683	76.3565	35.0306	70.0405	35.9036	80.4709	66.7049	43.4905	62.9345	56.5842	55.1387	42.1857	65.6237	59.8518	30.0523	73.0540	42.9680	21.7780	43.6844	40.9138	42.4768	78.6172	42.7818	47.4881	64.3738	91.6400	65.9709	50.8506	67.3725	45.2516	41.6776	29.3462	57.4661
bullseye_x	50.4247	70.2555	38.3594	70.6450	65.8755	59.2693	29.5575	49.6774	68.9950	59.5031	37.3294	50.2853	48.6644	50.0165	42.2763	34.7506	46.4808	72.4710	54.3797	53.1014	46.8199	67.6209	47.3154	79.6643	70.2369	36.4556	72.5706	40.0097	37.8904	45.4692	68.5431	60.8349	23.4957	39.6496	77.7061	53.0030	43.8070	35.5377	38.5022	61.0885	19.2882	49.2806	48.1799	63.0675	91.5079	72.6700	66.1730	66.0531	41.3895	52.2343	88.5305	48.9930	78.2499	20.9595	58.0067	64.7589	83.2939	91.1911	20.0245	34.7637	67.7895	54.7303	52.9920	36.4820	55.1609	68.4530	27.5608	20.4089	91.7355	63.1490	91.7260	63.4973	45.2720	54.7142	20.6891	70.8464	61.6148	55.0671	48.0144	63.1445	51.2039	36.9165	49.1917	41.1638	41.6096	89.1156	61.5035	71.5390	57.8179	89.0922	58.9745	75.1307	67.2807	68.2572	51.5998	61.2798	39.0555	50.1446	28.2712	24.6355	41.6832	25.0548	57.0610	46.5086	46.9571	70.0427	55.0519	44.2917	62.8240	64.8122	88.2390	43.3685	33.0082	40.0747	50.5160	61.5206	50.9677	53.7038	54.0318	55.8638	35.4695	37.3105	39.5490	53.9804	50.9405	58.6368	53.1747	35.3497	36.0334	62.0480	88.4321	60.0922	62.5603	55.3652	65.0443	62.6913	73.4287	36.8943	59.8400	60.8537	51.8721	37.0266
circle_x	39.7933	65.0259	85.6648	85.5710	58.6727	45.6174	32.8314	42.1423	54.2564	84.7943	57.1409	73.0318	85.6225	69.5136	55.6630	57.0759	81.5779	58.5283	51.2885	64.8129	30.8894	57.9023	26.6666	73.5074	25.1659	39.9214	26.3143	49.8385	22.9595	52.0818	69.9677	77.9310	44.3779	26.4593	53.7715	41.0270	56.9258	84.6267	46.9625	64.0102	72.9590	66.0937	47.5495	57.1447	55.9930	84.4248	47.3524	63.3565	50.5649	26.8595	26.3207	32.2637	39.4856	60.3498	25.2138	26.5136	70.9819	82.0339	56.3652	60.6739	31.1686	65.2230	32.5424	64.0208	61.1245	50.0323	75.6742	75.6866	33.4462	45.0411	61.9156	68.7456	68.8928	26.1634	53.5699	28.9728	32.6443	36.0271	42.6810	52.1881	48.9146	54.7612	60.7558	63.3947	73.3962	52.6841	85.6045	47.8752	52.6461	37.6277	48.5598	35.1614	51.1705	21.8636	25.5861	45.8704	82.1443	85.3450	58.9883	52.8250	56.4754	42.8790	58.8391	62.6857	51.5670	49.5709	51.4735	36.4689	83.8447	65.3150	70.1028	77.2046	60.7880	55.1296	33.0373	31.7607	68.0856	52.7512	43.0462	65.8072	53.0812	45.0290	61.8265	56.2658	25.5380	65.1181	48.8906	54.2002	45.0103	53.7197	84.2868	58.5721	50.4922	53.8462	56.4514	64.8020	48.5622	65.7556	85.1801	63.0902	51.4671	34.5753
dino_x	50.0000	51.2821	67.9487	55.3846	57.4359	35.6410	77.6923	32.0513	30.0000	39.4872	71.2821	53.8462	61.2821	56.1538	64.8718	35.1282	65.8974	64.8718	75.1282	47.9487	37.6923	70.5128	51.0256	26.1538	85.1282	98.2051	35.8974	60.7692	72.0513	41.0256	48.2051	71.5385	55.1282	53.5897	83.3333	51.2821	56.6667	42.8205	29.7436	22.3077	47.1795	68.2051	38.7179	63.0769	53.0769	59.2308	35.3846	48.7179	71.2821	40.2564	31.2821	50.0000	56.6667	68.4615	64.3590	53.8462	67.9487	25.8974	61.7949	46.1538	47.4359	74.3590	55.1282	59.2308	93.3333	29.4872	81.7949	57.4359	55.3846	40.7692	42.8205	46.9231	38.2051	54.1026	47.1795	73.8462	70.7692	61.7949	89.4872	30.0000	74.3590	50.0000	71.5385	76.6667	50.5128	59.2308	29.7436	56.6667	78.2051	33.0769	44.8718	47.9487	54.8718	32.8205	29.7436	29.7436	56.6667	36.6667	23.3333	53.0769	63.0769	49.7436	44.1026	38.7179	44.1026	57.9487	64.1026	49.4872	33.5897	58.7179	46.6667	66.9231	52.3077	50.0000	87.9487	44.1026	86.4103	62.3077	61.5385	52.0513	51.5385	46.1538	22.3077	60.0000	28.9744	79.7436	67.9487	23.0769	91.2821	64.1026	69.4872	45.3846	48.7179	68.4615	32.5641	61.2821	49.4872	51.5385	48.2051	52.5641	95.3846	56.1538
dots_x	50.7521	25.4836	75.8710	77.6820	51.8356	25.9288	50.8127	52.5093	52.5897	50.7924	52.3316	51.2509	49.9904	52.8812	25.8551	50.4770	26.4914	52.8843	50.1787	75.1643	75.9618	50.2075	50.9295	27.3389	27.6400	75.3260	50.2034	27.5374	50.8915	76.0636	50.3783	50.9393	27.5305	77.9260	25.8576	27.6741	75.4481	50.8120	52.5206	27.0956	76.9485	27.8932	50.5171	50.5336	51.1479	50.6911	75.7594	27.5806	75.1983	52.2633	25.5651	52.7138	50.9189	75.8710	27.8927	77.8641	50.7047	74.8203	75.5740	50.4642	75.6059	27.6784	75.1423	75.2443	26.2014	75.1946	52.9014	75.4793	49.9284	52.6357	75.2400	52.5001	50.4355	50.4438	51.0668	77.0833	51.9276	75.2281	77.3106	52.1842	51.7373	25.4435	77.0845	52.3428	26.0256	27.4392	75.2871	50.5513	50.2885	50.6310	50.3535	75.8956	49.9649	50.6584	52.7977	52.6850	76.8781	51.0142	50.5648	50.7852	50.6618	50.5014	25.5835	50.7337	50.0695	75.0447	75.7466	27.4224	50.4493	52.5928	76.9954	75.7715	25.9853	27.5515	50.4880	52.9526	76.2432	77.2544	50.2167	75.4005	75.2965	50.7114	50.6999	50.5628	50.5598	51.2639	52.0252	77.5009	52.7921	77.7564	50.1272	75.7010	50.8627	52.7292	50.4227	77.9544	75.1525	27.8783	50.4589	50.7253	52.0288	75.2634
h_lines_x	29.3365	74.6479	34.6255	95.2492	41.7797	62.6857	51.6803	70.7865	34.7542	53.3666	41.4171	76.7659	95.0653	50.8785	42.4484	57.0498	41.1693	52.8020	46.6883	59.7515	47.9170	50.7452	75.4772	36.7537	72.3020	34.7425	66.7633	45.3172	56.8284	58.2466	37.7940	77.6210	37.7993	24.2704	35.6673	64.9697	67.9680	67.2148	39.1428	73.3364	53.1169	38.0338	44.5468	46.1277	87.6985	58.6694	49.7397	56.6189	75.9871	69.2394	55.7471	43.3710	57.0533	40.8170	34.8007	54.8103	46.2381	67.0886	58.8215	70.8107	49.7869	32.6561	57.3107	54.6810	70.0869	69.9648	51.8281	73.1051	42.2423	43.5885	32.8706	58.2723	65.9493	65.9953	26.3315	57.9027	48.4423	70.8444	76.6965	91.1121	38.0502	53.0966	98.2881	70.6059	51.8203	51.8679	27.6340	47.0541	63.3096	22.8171	70.9468	59.8526	59.4355	42.7391	66.7699	80.4002	26.1669	51.8942	52.4189	84.4060	70.5683	64.7748	67.8709	80.2403	23.2847	88.6627	27.8919	49.5858	58.2391	54.8546	49.6561	33.3653	53.0428	27.1498	52.2039	32.0371	68.4030	70.5382	51.4068	54.9248	51.7491	56.7721	63.0186	53.7490	78.6425	60.1869	42.2241	52.9767	32.5307	74.6783	42.7132	44.8500	37.0194	52.3603	39.1103	42.7040	22.0037	56.2339	49.7495	65.4145	32.3789	22.9551
high_lines_x	58.2100	69.1952	31.2219	46.9658	96.0805	65.5924	37.5748	37.3099	23.0773	51.8117	64.6171	75.0064	56.7891	32.2152	55.9529	68.9344	61.8186	40.0788	31.0005	86.5044	52.3581	39.7404	56.2479	51.8563	55.8396	39.1996	53.2840	63.0652	37.0212	65.3065	72.2725	43.9194	54.2228	51.6638	78.0937	64.0671	70.7237	79.7002	37.1557	50.1574	54.1145	47.0937	24.9391	58.1188	37.5551	60.9815	59.1912	61.7276	75.0925	60.8066	51.3479	29.7453	59.8469	25.9855	49.9676	51.4537	47.3480	39.7363	56.6089	85.1617	76.7457	23.7146	42.8418	55.5711	44.6768	92.2479	58.5059	72.8336	23.7491	23.6731	57.6132	62.7075	66.9417	78.4646	62.3362	45.8350	59.0674	38.7319	29.4368	51.1835	36.3827	59.9671	44.4164	28.2178	41.1007	49.0188	91.7825	31.6896	55.4065	91.8874	56.4594	66.9907	30.0113	64.2492	72.2221	70.9806	51.9829	40.8639	52.5355	39.6483	51.2744	50.8925	63.6094	92.2484	48.2535	45.8019	58.2704	28.0376	70.8104	57.3379	72.1567	50.7539	40.0501	61.4146	33.7971	66.9433	62.1923	75.7799	91.8084	52.8112	45.8597	75.3599	57.6623	37.9498	49.3677	61.0030	70.8633	42.8818	70.3279	35.6536	49.5842	49.3105	61.1359	59.0008	17.8935	27.2796	59.7665	61.7206	33.5458	50.8155	76.7458	52.8338
slant_down_x	67.3026	62.3598	44.0774	65.2564	58.9432	73.7884	18.1095	66.1540	59.2035	61.0866	72.7784	95.5934	42.1848	36.4347	69.3801	39.2416	44.3005	42.4954	50.4339	79.4794	40.1237	71.8871	51.4877	34.2076	69.4599	66.7482	68.2222	37.6271	39.8854	85.1603	56.3751	82.8002	67.0958	46.3137	46.9883	62.5118	49.8070	26.1605	49.4527	39.9116	61.7373	67.2313	46.9051	94.9975	21.7961	44.3774	52.7723	24.9975	46.9095	60.3757	82.3042	55.0456	47.3749	50.3100	48.8632	58.4598	37.4770	50.2244	76.9883	48.1757	25.9526	20.9320	31.3996	59.3151	58.2964	69.9194	76.7756	32.9607	24.1505	73.7099	36.5235	44.5450	37.5437	59.0141	95.4435	75.1397	50.1146	52.8720	65.1983	62.4447	51.3533	62.2926	45.4204	57.1252	53.1786	67.2260	54.8027	47.4465	35.4047	28.6032	59.8527	56.3803	27.7141	31.4970	59.9704	53.0917	39.7959	49.8420	50.7417	50.7133	61.5633	77.4490	77.7629	78.8766	57.1124	64.5963	52.4066	28.5234	55.1059	55.7412	91.5178	40.4353	62.3078	52.4215	53.8099	46.3861	53.3853	45.4126	64.0910	57.0425	40.0027	72.4624	32.3760	76.5805	37.0882	54.0206	51.6422	32.2463	86.8537	54.8635	37.8392	45.4999	90.7007	39.5965	79.8065	63.0169	50.2970	59.2365	35.4355	59.3110	28.4192	49.9367
slant_up_x	49.8996	37.7008	33.3948	92.0176	48.3924	86.4015	75.1415	64.6552	61.1204	48.4506	55.7616	24.4435	60.3376	71.5450	27.2452	53.5300	36.1635	68.4925	42.6450	78.5757	54.1332	72.4367	67.4641	55.5639	31.3332	75.1687	45.3427	44.7596	77.7469	58.4164	36.6197	61.2697	27.1062	70.1715	90.4418	74.1868	63.5729	42.6523	51.3088	27.8877	53.5130	54.8557	63.7603	62.4238	63.7232	47.4421	34.2506	69.2890	51.8869	31.0329	30.0808	51.1412	60.7494	73.0015	54.3895	43.3927	51.4339	72.6222	68.8510	63.9863	31.1357	55.0441	31.9155	29.2928	51.2624	56.5944	46.0181	24.6308	50.4442	92.5488	43.8564	37.5801	37.7914	30.4043	68.4128	95.2605	50.7597	65.5834	47.2250	59.0251	48.8340	49.0410	59.2438	59.7160	58.9348	60.6836	57.9690	61.5868	52.8583	42.4150	21.0380	90.3426	28.0896	27.5482	49.0701	47.6952	52.2686	68.6383	60.6003	47.8499	30.1233	61.6587	46.2647	41.5789	55.5899	81.2694	55.4821	36.4659	55.9059	33.1678	42.5348	86.2562	50.1990	20.2098	49.1774	84.0905	32.1921	66.4313	54.8118	43.8277	61.6186	71.1341	51.6006	40.1638	85.3242	33.9806	55.2413	58.3231	65.6764	41.2903	63.9210	65.1507	59.6326	85.8192	65.0059	46.7145	41.5304	65.7767	43.2867	57.8328	80.3529	44.6100
star_x	76.7318	57.6147	58.2432	58.2494	56.5381	56.6365	41.7402	28.0855	41.3272	72.1758	38.7643	79.1868	78.7572	77.3930	58.7182	38.4040	79.4728	77.3382	66.2879	63.8690	77.3486	27.5780	82.5402	45.0063	77.8637	39.5826	40.4357	56.1714	77.5847	32.4618	43.5951	29.4227	75.9827	41.5289	27.1865	54.5757	52.9707	76.0580	58.2136	77.2527	70.9601	42.8117	49.1162	50.3400	43.3006	67.8817	59.6522	28.5890	81.5304	58.1961	42.1787	58.0245	77.4134	76.9458	34.3040	77.8991	41.9686	40.7490	57.8218	40.8993	77.6347	44.0741	57.9147	75.1307	28.7391	41.4815	58.0820	54.6210	41.6798	40.3986	80.3577	28.7044	39.4029	44.4438	68.9881	79.4887	29.6028	62.4901	29.4330	54.4131	77.5437	70.5959	79.3261	56.5313	27.7799	39.0875	76.8223	56.6640	64.8928	28.8113	77.6061	76.1804	29.0056	77.9726	39.3119	44.0071	63.0560	40.9365	47.1554	27.0246	64.0281	41.9383	28.0887	28.0873	28.8013	43.7226	29.2851	44.0446	39.2067	39.6175	64.4008	58.4618	57.2784	59.5299	69.6470	43.2331	42.4765	69.8958	55.0745	49.4711	77.4967	41.6405	62.5668	38.3865	57.9978	39.6616	31.7087	44.0013	86.4359	77.5732	40.3834	57.4894	62.1056	58.2216	56.5944	57.5495	58.6723	44.0539	65.0990	55.3155	58.3821	41.4701
